"scientificName"
"Nerita scabricosta"
"Echinolittorina apicina"
"Echinolittorina tenuistriata"
"Echinolittorina conspersa"
"Chthamalus panamensis"
"Fissurella virescens"
"Nerita funiculata"
"Siphonaria gigas"
"Tetraclita squamosa panamensis"
"Verrucaria"
"Calcinus obscurus"
"Cladophoropsis adhaerens"
"Ceramium"
"Dolabrifera dolabrifera"
"Vasula melones"
"Tegula panamensis"
"Valonia"
"Amphiroa"
"Lithophyllum"
"Hespererato scabriuscula"
"Siphonaria maura"
"Chiton stokesii"
"Anthopleura"
"Isognomon janus"
"Acanthais brevidentata"
"Lottia mesoleuca"
"Brachidontes playasensis"
"Planaxis planicostatus"
"Conus nux"
"Neotiara lens"
"Eriphia squamata"
"Derbesia"
"Hypnea"
"Holothuria (Selenkothuria) portovallartensis"
"Holothuria"
"Corallinaceae"
"Prosthiostomidae"
"Elysia diomedea"
"Epitonium"
"Muricopsis zeteki"
"Axiidae"
"Mithraculus denticulatus"
"Ophiocomella alexandri"
"Ischnochiton dispar"
"Ophiocoma aethiops"
"Padina mexicana"
"Jania"
"Gelidium"
"Phascolosoma (Phascolosoma) nigrescens"
"Cerithium adustum"
"Ophiactis savignyi"
"Eunice cedroensis"
"Gemophos ringens"
"Gemophos"
"Diodora saturnalis"
"Lithothamnion"
"Desmanthus"
"Chaetopteridae"
"Carditamera affinis"
"Parvanachis pygmaea"
"Columbella major"
"Mitrella elegans"
"Brachidontes semilaevis"
"Echinolittorina"
"Phragmatopoma"
"Sabellidae"
"Ophionereis annulata"
"Uca"
"Physalia"
